Player,Tm,Age,Pos,id
Patrick Mahomes,KAN,27,QB,MahoPa00
Josh Allen,BUF,26,QB,AlleJo02
Joe Burrow,CIN,26,QB,BurrJo01
Tom Brady,TAM,45,QB,BradTo00
Justin Herbert,LAC,24,QB,HerbJu00
Geno Smith,SEA,32,QB,SmitGe00
Kirk Cousins,MIN,34,QB,CousKi00
Derek Carr,LVR,31,QB,CarrDe02
Jared Goff,DET,28,QB,GoffJa00
Aaron Rodgers,GNB,39,QB,RodgAa00
Trevor Lawrence,JAX,23,QB,LawrTr00
Matt Ryan,IND,37,QB,RyanMa00
Jacoby Brissett,CLE,30,QB,BrisJa00
Tua Tagovailoa,MIA,24,QB,TagoTu00
Jalen Hurts,PHI,24,QB,HurtJa00
Jimmy Garoppolo,SFO,31,QB,GaroJi00
Russell Wilson,DEN,34,QB,WilsRu00
Kyler Murray,ARI,25,QB,MurrKy00
Lamar Jackson,BAL,25,QB,JackLa00
Daniel Jones,NYG,25,QB,JoneDa05
Davis Mills,HOU,24,QB,MillDa02
Matthew Stafford,LAR,34,QB,StafMa00
Marcus Mariota,ATL,29,QB,MariMa01
Andy Dalton,NOR,35,QB,DaltAn00
Ryan Tannehill,TEN,34,QB,TannRy00
Mac Jones,NWE,24,QB,JoneMa05
Justin Fields,CHI,23,QB,FielJu00
Kenny Pickett,PIT,24,QB,PickKe00
Carson Wentz,WAS,30,QB,WentCa00
Dak Prescott,DAL,29,QB,PresDa01
Baker Mayfield,CAR,27,QB,MayfBa00
Zach Wilson,NYJ,23,QB,WilsZa00
Taylor Heinicke,WAS,29,QB,HeinTa00
Cooper Rush,DAL,29,QB,RushCo00
Joe Flacco,NYJ,37,QB,FlacJo00
Jameis Winston,NOR,28,QB,WinsJa00
Mitchell Trubisky,PIT,28,QB,TrubMi00
Bailey Zappe,NWE,23,QB,ZappBa00
P.J. Walker,CAR,27,QB,WalkPh00
Teddy Bridgewater,MIA,30,QB,BridTe00
Colt McCoy,ARI,36,QB,McCoCo00
Mike White,NYJ,27,QB,WhitMi01
Sam Ehlinger,IND,24,QB,EhliSa00
Skylar Thompson,MIA,25,QB,ThomSk00
Brett Rypien,DEN,26,QB,RypiBr00
Kyle Allen,HOU,26,QB,AlleKy00
John Wolford,LAR,27,QB,WolfJo00
Trey Lance,SFO,22,QB,LancTr00
Jordan Love,GNB,24,QB,LoveJo03
Trevor Siemian,CHI,31,QB,SiemTr00
Sam Darnold,CAR,25,QB,DarnSa00
Bryce Perkins,LAR,26,QB,PerkBr02
Malik Willis,TEN,23,QB,WillMa12
Taysom Hill,NOR,32,TE,HillTa00
Jarrett Stidham,LVR,26,QB,StidJa00
Trace McSorley,ARI,27,QB,McSoTr00
Brock Purdy,SFO,23,QB,PurdBr00
Jacob Eason,CAR,25,QB,EasoJa00
Nick Mullens,MIN,27,QB,MullNi00
Brian Hoyer,NWE,37,QB,HoyeBr00
Justin Jefferson,MIN,23,WR,JeffJu00
Christian McCaffrey,2TM,26,RB,McCaCh01
Tyler Boyd,CIN,28,WR,BoydTy00
Gardner Minshew II,PHI,26,QB,MinsGa00
Brandon Allen,CIN,30,QB,AlleBr00
Riley Dixon,LAR,29,P,DixoRi00
Braden Mann,NYJ,25,P,MannBr01
Ryan Wright,MIN,22,P,WrigRy00
Tyrod Taylor,NYG,33,QB,TaylTy00
Case Keenum,BUF,34,QB,KeenCa00
Jack Fox,DET,26,P,FoxxJa01
Najee Harris,PIT,24,RB,HarrNa00
Derrick Henry,TEN,28,RB,HenrDe00
Mack Hollins,LVR,29,WR,HollMa00
Braxton Berrios,NYJ,27,WR,BerrBr00
Chase Claypool,2TM,24,WR,ClayCh01
Rex Burkhead,HOU,32,RB,BurkRe00
Amari Cooper,CLE,28,WR,CoopAm00
DeeJay Dallas,SEA,24,RB,DallDe00
Chase Daniel,LAC,36,QB,DaniCh00
Leonard Fournette,TAM,27,RB,FourLe00
Chad Henne,KAN,37,QB,HennCh01
Christian Kirk,JAX,26,WR,KirkCh01
Cooper Kupp,LAR,29,WR,KuppCo00
Tommy Townsend,KAN,26,P,TownTo01